Item,Internal Cod,Cod Vend,Description,Quantity,UM,Unit Price,Net Amount
1330,108952,800897123369,CONCEALER WAND - YELLOW,30.00,PC,2.40,72.00
1340,120833,,CONCEALER CORRECTOR STICK- NATURAL,60.00,PC,0.00,0.00
1350,120830,,CONCEALER CORRECTOR STICK- NEUTRAL TAN,60.00,PC,0.00,0.00
1360,118991,800897202392,FILLER INSTINCT PLUMP LIP COLOR JUICY PO,30.00,PC,3.20,96.00
1370,118993,800897202422,FILLER INSTINCT PLUMP LIP COLOR SUGAR PI,30.00,PC,3.20,96.00
1380,114290,800897183899,LIP LINGERIE PUSH UP-PUSH UP,30.00,PC,3.80,114.00
1390,117512,800897004057,LIP LINGERIE XXL BUST ED,60.00,PC,4.00,240.00
1400,117502,800897003951,LIP LINGERIE XXL FLAUNT IT,30.00,PC,4.00,120.00
1410,118311,800897132156,LIP LINGERIE XXL ON FUEGO,30.00,PC,4.00,120.00
1420,117520,800897004132,LIP LINGERIE XXL SIZZLIN,30.00,PC,4.00,120.00
1430,117519,800897004125,LIP LINGERIE XXL STAMINA,30.00,PC,4.00,120.00
1440,118412,800897132187,LIP LINGERIE XXL UNTAMABLE,60.00,PC,4.00,240.00
1450,110142,800897148300,POWDER PUFF LIPPIE - BEST BUDS,15.00,PC,3.60,54.00
1460,110137,800897140247,POWDER PUFF LIPPIE - GROUP LOVE,60.00,PC,3.60,216.00
1470,110141,800897148294,POWDER PUFF LIPPIE - MOODY,15.00,PC,3.60,54.00
1480,110140,800897140557,POWDER PUFF LIPPIE - POP QUIZ,15.00,PC,3.60,54.00
1490,110136,800897140410,POWDER PUFF LIPPIE - PUPPY LOVE,15.00,PC,3.60,54.00
1500,110138,800897140434,POWDER PUFF LIPPIE - SQUAD GOALS,15.00,PC,3.60,54.00
1510,113399,800897182304,POWDER PUFF LIPPIE BOYS TEARS,15.00,PC,3.60,54.00
1520,110135,800897140403,POWDER PUFF LIPPIE-COOL INTENTIONS,15.00,PC,3.60,54.00
1530,113395,800897182267,POWDER PUFF LIPPIE PRANK CALL,15.00,PC,3.60,54.00
1540,113396,800897182274,POWDER PUFF LIPPIE TEACHERS PET,15.00,PC,3.60,54.00
1550,110441,800897142902,SFT MATTE LP CRM - ABU DHABI,60.00,PC,2.80,168.00
1560,110443,800897142827,SFT MATTE LP CRM - AMSTERDAM,60.00,PC,2.80,168.00
1570,110445,800897829933,SFT MATTE LP CRM - ATHENS,60.00,PC,2.80,168.00
1580,110447,800897848934,SFT MATTE LP CRM - BERLIN,60.00,PC,2.80,168.00
1590,110448,800897848958,SFT MATTE LP CRM - BUDAPEST,60.0,PC,2.8,168.0
1600,110452,800897829971,SFT MATTE LP CRM - CANNES,60.0,PC,2.8,168.0
1610,110454,800897829988,SFT MATTE LP CRM - COPENHAGEN,60.0,PC,2.8,168.0
1620,110459,800897142872,SFT MATTE LP CRM - ISTANBUL,60.0,PC,2.8,168.0
1630,110461,8289200,SFT MATTE LP CRM - LEON,60.0,PC,2.6,156.0
1640,110462,800897142858,SFT MATTE LP CRM - LONDON,60.0,PC,2.8,168.0
1650,110463,8239800,SFT MATTE LP CRM - LOS ANGELES,60.0,PC,2.6,156.0
1660,110464,800897848972,SFT MATTE LP CRM - MADRID,60.0,PC,2.8,168.0
1670,110466,800897142926,SFT MATTE LP CRM - MILAN,30.0,PC,2.8,84.0
1680,110467,800897142919,SFT MATTE LP CRM - MONTE CARLO,30.0,PC,2.8,84.0
1690,110468,8289200,SFT MATTE LP CRM - MONTREAL,60.0,PC,2.6,156.0
1700,110472,800897829964,SFT MATTE LP CRM - PRAGUE,60.0,PC,2.8,168.0
1710,110473,800897849023,SFT MATTE LP CRM - ROME,30.0,PC,2.8,84.0
