PRODUCT,LEGACY PRODUCT,DESCRIPTION,UPC,QTY ORD,QTY,PRICE,UNIT ALLOW,NET PRICE,EXT US($)
K3281400,WSR07,WONDR STCK DUAL FACE LIFT DEEP,8008971000735,60,60,8.40,2.80,5.60,336.00
K5994700,K5994700,BUTTERMELT BLUSH BACK AND BUTTA,8008972576755,72,0,0.00,0.00,0.00,0.00
K6048400,K6048400,BUTTERMELT BLUSH BUTTA THAN BEFORE,8008972590372,72,0,0.00,0.00,0.00,0.00
K5993900,K5993900,BUTTERMELT BLUSH BUTTA TOGETHER,8008972575838,72,0,0.00,0.00,0.00,0.00
K5994600,K5994600,BUTTERMELT BLUSH FEELING BUTTA,8008972576672,72,0,0.00,0.00,0.00,0.00
K5994300,K5994300,BUTTERMELT BLUSH FOR THE BUTTA,8008972576372,72,0,0.00,0.00,0.00,0.00
K5994200,K5994200,BUTTERMELT BLUSH HAD BUTTA,8008972576133,72,0,0.00,0.00,0.00,0.00
K4258802,K4258802,LIP LINGERIE XXL ON FUEGO,800897132156,30,0,0.0,0.0,0.0,0.0
K6086600,K6086600,FAT OIL LIP DRIP CHILLIN LIKE A VIL,800897261536,72,0,0.0,0.0,0.0,0.0
K6086700,K6086700,FAT OIL LIP DRIP SPLASH OF CREAM,800897261566,72,0,0.0,0.0,0.0,0.0
